filename,log_sr_r,log_sr_g,log_sr_b
44-13.tiff,0.6451,0.5848,0.4918
44-14.tiff,0.6469,0.5851,0.4890
44-15.tiff,0.6464,0.5859,0.4887
44-16.tiff,0.6407,0.5850,0.4973
44-17.tiff,0.6425,0.5851,0.4947
44-18.tiff,0.6456,0.5839,0.4922
44-2.tiff,0.6461,0.5858,0.4893
44-3.tiff,0.6403,0.5863,0.4962
44-4.tiff,0.6440,0.5850,0.4930
44-5.tiff,0.6431,0.5850,0.4942
44-6.tiff,0.6428,0.5857,0.4937
44-7.tiff,0.6446,0.5852,0.4920
44-8.tiff,0.6453,0.5855,0.4907
44-9.tiff,0.6461,0.5849,0.4903
45-1.tiff,0.6475,0.5859,0.4873
45-10.tiff,0.6471,0.5855,0.4883
45-11.tiff,0.6456,0.5851,0.4908
45-12.tiff,0.6476,0.5848,0.4885
45-13.tiff,0.6450,0.5855,0.4912
45-14.tiff,0.6465,0.5849,0.4898
45-15.tiff,0.6450,0.5859,0.4907
45-16.tiff,0.6466,0.5859,0.4886
45-17.tiff,0.6495,0.5850,0.4857
45-18.tiff,0.6482,0.5857,0.4867
45-19.tiff,0.6464,0.5859,0.4888
45-2.tiff,0.6440,0.5866,0.4911
45-20.tiff,0.6464,0.5859,0.4888
45-3.tiff,0.6467,0.5858,0.4884
45-4.tiff,0.6392,0.5869,0.4970
45-5.tiff,0.6401,0.5867,0.4960
45-6.tiff,0.6418,0.5862,0.4945
45-7.tiff,0.6443,0.5852,0.4924
45-8.tiff,0.6469,0.5859,0.4881
